Species,Number
cryomorpha ignava,0
chaetosphaeridium globosum,2
kriegella spp.,0
halomonas shenglis,1
aeromicrobium spp.,0
stenotrophomonas chelatovorus,1
acidaminococcus fermentans,0
crenothrix freshwater sediment,0
bordetella hinzii,0
nitrosomonas cryotolerans,0
thermovirga spp.,0
lactobacillus plantarum,0
pseudomonas umsongensis,0
azovibrio spp.,0
alkaliphilus transvaalensis,1
ruminiclostridium clostridium papyrosolvens,1
desulfotomaculum acetoxidans,0
opitutus terrae,1
streptosporangium sphaerica,0
geothermobacter ehrlichii,0
uliginosibacterium spp.,0
methylocella spp.,0
desulfocella spp.,0
thalassotalea thalassomonas ganghwensis,1
psychromonas profunda,0
fischerella muscicola,0
flavobacterium frigoris,0
microcystis aeruginosa,0
parvimonas micra,0
thioploca candidatus thiomargarita_joergensenii,0
thermopolyspora compost metagenome,0
planosporangium flavigriseum,1
agromyces aurantiacus,0
desulfomicrobium norvegicum,0
nodularia spumigena,0
pelotomaculum spp.,0
gordonia polyisoprenivorans,0
clostridium botulinum,1
streptomyces thermoalcalitolerans,1
algoriphagus hongiella aquaeductus,0
granulicella spp.,0
thalassomonas viridans,0
cytophaga spp.,0
clostridium neonatale,1
micrococcus lylae,0
leptospira meyeri,0
psychrobacter pacificensis,0
marinomonas dokdonensis,0
papillibacter spp.,0
nocardia paucivorans,0
clostridium tepidiprofundum,0
curtobacterium citreum,0
candidatus_contubernalis spp.,0
candidatus_methylacidiphilum spp.,1
capnocytophaga spp.,0
novosphingobium mathurensis,0
methylophaga spp.,0
methylibium petroleiphilum,1
oscillatoria spp.,0
pseudonocardia kongjuensis,1
marinobacter spp.,0
thermoleophilum album,0
rhodovulum strictum,0
roseovarius nubinhibens,0
kordia spp.,0
stappia spp.,0
streptococcus thermophilus,0
sphingomonas yunnanensis,1
janibacter melonis,0
sulfurimonas autotrophica,3
wilmottia phormidium murrayii,0
persicobacter diffluens,0
desulfococcus multivorans,2
cystobacter fuscus,1
rhodoferax ferrireducens,0
pseudanabaena spp.,1
chlorobium spp.,0
gluconobacter spp.,0
flavobacterium daejeonense,0
microbulbifer agarilyticus,0
sphingopyxis panaciterrae,0
ornithobacterium rhinotracheale,1
shewanella aquimarina,0
desulfovibrio sulfodismutans,0
streptomyces roseoflavus,0
methylococcus spp.,1
desulfomicrobium spp.,0
moraxella bovis,0
halomonas pacifica,4
chryseobacterium spp.,0
mycobacterium porcinum,0
mycobacterium nebraskense,0
sphingobium sphingomonas agrestis,0
lysobacter spongicola,0
photobacterium lipolyticum,0
ottowia spp.,0
ureibacillus ruaensis,0
cellvibrio gandavensis,1
streptomyces lavendofoliae,0
tenacibaculum maritimum,1
bacillus cytotoxicus,0
thioalkalivibrio versutus,0
bacillus amyloliquefaciens,1
planomicrobium planococcus alkanoclasticus,0
candidatus_aquirestis spp.,3
thiophaeococcus mangrovi,4
desulfuromonas michiganensis,0
chamaesiphon subglobosus,0
thermoflavimicrobium spp.,0
ruminiclostridium eubacterium siraeum,2
holophaga spp.,0
desulfovibrio marrakechensis,0
cryobacterium psychrophilum,0
haloferula helveola,0
ascidianibacter aurantiacus,0
spirochaeta sp.,0
rickettsiales spp.,0
bacillus pumilus,0
kribbella jejuensis,0
singulisphaera spp.,1
sphingopyxis composta,4
oceanicola batsensis,1
hahella ganghwensis,2
ahrensia kielensis,1
erythrobacter gaetbuli,0
oscillospira spp.,0
dichotomicrobium thermohalophilum,0
enterobacter sp.,0
chlorobaculum parvum,2
rhodococcus fascians,0
croceitalea marine metagenome,0
methylophilus spp.,1
streptomyces yunnanensis,0
desulfobacter curvatus,0
pseudoalteromonas luteoviolacea,0
hoeflea spp.,0
thermobispora bispora,0
dyella ginsengisoli,1
nostoc spp.,0
ornithodoros moubata,0
kosmotoga sp.,0
nocardioides marinisabuli,0
anaeromyxobacter spp.,0
geobacter hephaestius,0
luteolibacter pohnpeiensis,1
polaromonas rhizosphaerae,0
arcanobacterium phocae,0
clostridium tetani,1
rickettsia japonica,0
streptomyces thermovulgaris,0
spiroplasma litorale,0
geobacter bemidjiensis,0
ramlibacter spp.,2
sutterella spp.,0
thermodesulfobium spp.,0
aestuariimicrobium spp.,0
bacillus pumilus,0
thalassolituus spp.,1
lishizhenia caseinilytica,0
planktothrix rubescens,0
moorea lyngbya bouillonii,0
tenacibaculum aestuarii,0
flavobacterium metagenome sequence,0
salibacter luridus,0
anaplasma centrale,0
caldibacillus geobacillus debilis,0
flavobacterium cucumis,0
photobacterium rosenbergii,0
albimonas donghaensis,0
janibacter spp.,1
microbulbifer salipaludis,1
legionella feeleii,0
psychrobacter celer,4
neorickettsia helminthoeca,0
faecalibacterium prausnitzii,3
pseudoalteromonas ulvae,0
sporomusa paucivorans,0
azospirillum amazonense,0
oscillatoriales phormidiaceae cyanobacterium,5
lutispora spp.,1
nocardia otitidiscaviarum,0
acidaminococcus intestini,0
bacteroides stercoris,0
rhodospirillum rubrum,0
aminobacter aminovorans,1
clostridium perfringens,0
salinibacterium spp.,0
ralstonia mannitolilytica,0
rhizobium undicola,0
sulfurospirillum arcachonense,0
atopobium spp.,1
sphingobium fuliginis,0
bacteroides uniformis,1
fulvivirga kasyanovii,1
cellulosimicrobium cellulans,0
crenothrix polyspora,1
magnetospirillum alpha proteobacterium,0
tenacibaculum skagerrakense,1
methylotenera mobilis,1
desulfovibrio putealis,0
brevundimonas alba,0
candidatus_cryptoprodotis spp.,1
aminobacter sp.,0
geodermatophilus spp.,0
exiguobacterium indicum,1
actinomadura kijaniata,0
anabaena variabilis,1
roseibacterium spp.,0
parabacteroides distasonis,0
sphingomonas adhaesiva,0
bulleidia  spp.,0
flavobacterium limicola,1
marichromatium purpuratum,0
pibocella spp.,0
cocleimonas flava,1
psychromonas arctica,0
acinetobacter lwoffii,0
citreimonas spp.,0
desulfobacterium zeppelinii,1
piscirickettsia spp.,0
paracoccus seriniphilus,0
sulfurihydrogenibium spp.,2
oscillibacter spp.,0
tistrella mobilis,0
caulobacter spp.,0
porphyrobacter agrobacterium sanguineum,1
brevinema spp.,0
rhodopseudomonas palustris,0
algoriphagus chordae,0
pseudomonas mendocina,0
chitinophaga spp.,1
desulfofaba spp.,0
streptomyces nogalater,0
microbacterium phyllosphaerae,0
agromyces spp.,2
thiomicrospira marine metagenome,0
desulfotalea arctica,0
methylobacterium tardum,0
caulobacter vibrioides,0
cellvibrio japonicus,2
kitasatospora putterlickiae,0
algicola spp.,0
ws6 (candidate division)  ws6 (candidate division),0
niastella spp.,0
lapillicoccus spp.,0
afipia spp.,0
derxia spp.,0
thiorhodococcus kakinadensis,0
psychromonas antarctica,6
amorphus spp.,0
desulfovibrio alcoholovorans,3
sarcina spp.,0
saccharospirillum spp.,2
desulfatibacillum alkenivorans,0
oceanisphaera spp.,0
desulfovibrio vulgaris,0
parabacteroides gordonii,0
thioploca candidatus parabeggiatoa_communis,0
ekhidna lutea,0
salinispora spp.,0
streptomyces cattleya,0
leadbetterella spp.,0
haliea salexigens,2
leuconostoc mesenteroides,0
acholeplasma vituli,0
corynebacterium kroppenstedtii,2
prevotella spp.,0
ruminiclostridium clostridium alkalicellum,0
actinomadura formosensis,0
frankia sp.,1
ruegeria atlantica,1
victivallis vadensis,0
syntrophus aciditrophicus,0
cohnella spp.,0
arthrobacter luteolus,0
maricaulis maris,0
meganema spp.,0
oxalobacter spp.,0
lachnoclostridium clostridium algidixylanolyticum,0
actinokineospora diospyrosa,1
moryella spp.,0
chromatium okenii,0
pseudoalteromonas haloplanktis,2
sphaerotilus spp.,0
thioploca candidatus maribeggiatoa_vulgaris,2
shinella zoogloeoides,1
pibocella ponti,0
mariniflexile spp.,0
microbacterium imperiale,0
prosthecochloris aestuarii,7
pseudomonas fluorescens,1
petrotoga sibirica,0
desulfovibrio aespoeensis,0
sporichthya polymorpha,0
glaciecola polaris,0
erwinia soli,0
aliihoeflea spp.,0
azoarcus toluclasticus,0
chlorobaculum spp.,0
bartonella elizabethae,0
runella spp.,0
mycobacterium sacrum,0
vibrio metschnikovii,0
propionibacterium acnes,0
microlunatus spp.,0
halobacillus salinus,2
marinobacter bryozoorum,0
streptomyces macrosporus,0
marinomonas aquimarina,2
microlunatus aurantiacus,1
desulfitobacterium spp.,0
clostridium limosum,0
oryzihumus spp.,2
syntrophomonas spp.,0
methylosinus trichosporium,1
sulfuricurvum spp.,1
halothiobacillus spp.,2
algibacter mikhailovii,0
candidatus_odyssella spp.,0
odoribacter spp.,0
pseudoalteromonas citrea,2
thalassotalea thalassomonas agarivorans,0
pseudomonas anguilliseptica,3
rhizobium etli,1
aeromonas spp.,0
pleomorphomonas oryzae,1
bacillus clausii,0
candidatus_hepatincola spp.,0
mycobacterium aurum,0
kribbella solani,0
melitea marine metagenome,0
clostridiisalibacter paucivorans,0
flexibacter echinicida,1
pedobacter koreensis,4
novosphingobium capsulatum,0
cardiobacterium hominis,0
filimonas spp.,1
nonlabens stenothermobacter spongiae,0
marinobacter sediminum,0
camelimonas spp.,0
dechloromonas spp.,0
umboniibacter marinipuniceus,0
dethiobacter spp.,0
halorhodospira halophila,1
oleiphilus messinensis,0
veillonella dispar,0
anoxybacillus kualawohkensis,0
proteiniclasticum spp.,0
spirosoma rigui,0
clostridium puniceum,2
thiomicrospira hydrothermal vent,0
desulfovibrio fructosovorans,1
desulfospira joergensenii,4
thiocystis violacea,9
phytophthora infestans,0
persicirhabdus spp.,1
deferribacter thermophilus,0
pseudomonas aeruginosa,0
reinekea marinisedimentorum,1
turicibacter sanguinis,0
sphingomonas echinoides,0
pseudozobellia thermophila,0
polaromonas spp.,0
sufflavibacter maritimus,2
kamptonema phormidium animale,2
bacillus acidiceler,1
candidatus_paenicardinium cardinium endosymbiont_of_culicoides_arakawae,0
spirochaeta americana,0
heterosigma akashiwo,1
marinobacter salicampi,1
kineosporia mikuniensis,5
legionella cherrii,0
leptobacterium flavescens,0
zavarzinella spp.,0
haloferula rosea,0
marinomonas spp.,0
mycobacterium holsaticum,0
pedobacter spp.,1
solibacillus spp.,0
lentisphaera araneosa,1
halanaerobium spp.,6
pectinatus sp.,0
sulfurospirillum spp.,1
bacillus aquimaris,1
rhodospirillum photometricum,0
hyphomicrobium sulfonivorans,1
shewanella marisflavi,1
georgfuchsia spp.,0
methylohalomonas spp.,0
methyloversatilis spp.,0
herbaspirillum frisingense,0
rickettsia monacensis,2
thioploca spp.,0
subdoligranulum spp.,1
fulvimarina pelagi,2
methylosinus sporium,1
pseudorhodoferax spp.,1
kordia algicida,1
acidithiobacillus ferrooxidans,1
ekhidna flexibacteraceae bacterium,0
byssovorax spp.,0
eubacterium rectale,1
jiangella spp.,0
meganema perideroedes,0
sporotalea spp.,1
variovorax paradoxus,0
arthrobacter nicotianae,0
desulfocapsa sulfexigens,12
isosphaera spp.,1
candidatus marithioploca_araucae,0
maritalea spp.,0
glaciecola chathamense,0
maricaulis parjimensis,0
trichormus variabilis,2
desulfovibrio fairfieldensis,1
candidatus_endobugula endosymbiont of_bugula_turbinata,0
faecalibacterium spp.,0
planctomyces brasiliensis,2
kordiimonas gwangyangensis,0
tepidibacter spp.,0
synechococcus spc9,0
methylobacterium jeotgali,0
cyclobacterium marinum,0
fervidobacterium spp.,1
lentzea waywayandensis,3
anaerosporobacter spp.,2
anaerotruncus spp.,0
piscirickettsia salmonis,0
paracoccus versutus,0
balneimonas spp.,0
psychromonas heitensis,2
novosphingobium stygium,1
desulfuromonas acetoxidans,1
nonomuraea bangladeshensis,0
anaerospora spp.,2
marinobacter hydrocarbonoclasticus,0
cetobacterium spp.,0
tenacibaculum mesophilum,1
streptomyces chattanoogensis,0
planococcus donghaensis,1
hahella antarctica,1
leptospira spp.,3
enhygromyxa salina,2
trichodesmium erythraeum,0
alicyclobacillus spp.,1
mesonia spp.,1
bosea thiooxidans,0
bowmanella pacifica,4
hydrogenophaga spp.,2
desulfovibrio dechloracetivorans,1
desulfovibrio aminophilus,0
thalassobius gelatinovorus,0
hyphomonas taiwanensis,4
desulfovibrio oxyvorans,0
alistipes spp.,0
marinomonas communis,0
iamia majanohamensis,2
solitalea spp.,1
phascolarctobacterium spp.,2
vadicella arenosi,0
lachnoclostridium clostridium xylanolyticum,0
microbacterium aurum,2
blautia producta,0
pantoea ananatis,4
thermaerobacter nagasakiensis,1
nitrosomonas aestuarii,2
pseudoalteromonas porphyrae,9
campylobacter spp.,7
limnobacter spp.,3
desulfovirga spp.,0
akkermansia spp.,0
hyphomonas oceanitis,1
pseudoruegeria aquimaris,0
psychrobacter spp.,10
xenococcus spp.,3
mycoplana dimorpha,2
flavihumibacter spp.,0
pseudomonas putida,1
hydrogenophaga taeniospiralis,2
thalassomonas spp.,2
desulfovibrio oryzae,0
ruminofilibacter xylanolyticum,4
arenimonas spp.,0
algoriphagus yeomjeoni,0
subsaximicrobium wynnwilliamsii,2
rhodobacter capsulatus,0
paracoccus pantotrophus,0
ruminococcus spp.,3
microbulbifer variabilis,0
psychromonas spp.,0
paucimonas spp.,3
desulfovibrio ferrophilus,0
elusimicrobium spp.,0
thermocrinis spp.,0
rickettsia typhi,0
alteromonas tagae,0
frankiales spp.,0
algoriphagus marine metagenome,0
malawimonas jakobiformis,0
ulvibacter litoralis,5
mucispirillum schaedleri,0
comamonas spp.,2
sideroxydans paludicola,0
candidatus_amoebophilus endosymbiont of_acanthamoeba_sp._(hungarian_isolate),0
desulfomonile limimaris,2
anaplasma phagocytophilum,0
telmatospirillum spp.,0
succiniclasticum spp.,2
williamsia muralis,0
ruminiclostridium clostridium stercorarium,2
bacillus sp.,1
cohaesibacter marine metagenome,1
paracoccus aminovorans,0
bacillus algicola,2
thiohalospira halophila,4
hyphomonas spp.,1
dorea spp.,0
catenibacterium spp.,1
cellulomonas chitinilytica,1
anaerovibrio spp.,0
leptotrichia spp.,0
coxiella burnetii,3
rhodocyclus tenuis,2
pseudolabrys rhizobiales sp.,1
shewanella spp.,0
moorella spp.,4
marixanthomonas ophiurae,1
candidatus_captivus spp.,0
jejuia spp.,0
brachymonas spp.,5
bacillus thuringiensis,1
candidatus amoebophilus asiaticus,0
arenibacter spp.,4
algoriphagus ratkowskyi,5
loktanella koreensis,0
desulfovibrio longus,0
candidatus_anadelfobacter spp.,0
acholeplasma axanthum,0
jannaschia seohaensis,1
halomonas spp.,0
hahella spp.,0
geobacter lovleyi,4
sphingomonas asaccharolytica,0
spirochaeta dissipatitropha,0
pseudobutyrivibrio spp.,0
desulfobacterium vacuolatum,0
bilophila spp.,0
agromyces allium,4
lysobacter spp.,3
megasphaera elsdenii,0
microbulbifer maritimus,0
chthoniobacter flavus,1
psychrobacter aquaticus,0
psychroserpens burtonensis,1
arthrobacter chlorophenolicus,0
jejuia pallidilutea,0
nostoc commune,4
glaciecola punicea,1
desulfovibrio halophilus,0
reichenbachiella agariperforans,2
propionigenium spp.,2
nostocoida type ii nostocoida aromativora,0
ruminiclostridium clostridium thermocellum,5
friedmanniella spp.,4
rickettsia parkeri,1
desulfovibrio africanus,2
gillisia spp.,3
solirubrobacterales spp.,0
methylobacterium spp.,0
sphingopyxis alaskensis,1
arcobacter mytili,16
aquimarina intermedia,0
brevundimonas spp.,1
sphingobium paucimobilis,0
gammaproteobacteria spp.,11
microbulbifer thermotolerans,0
succinispira spp.,1
rhodococcus spp.,0
thioalkalibacter halophilus,0
mycobacterium marinum,0
microbacterium ulmi,10
spirochaeta cellobiosiphila,0
rhodobium orientis,1
azospirillum palatum,1
propionicicella spp.,0
rapidithrix spp.,0
brumimicrobium spp.,2
legionella dresdeniensis,0
sphaerobacter spp.,1
corynebacteriales spp.,1
ureaplasma felinum,0
reclinomonas americana,0
marichromatium indicum,7
nodularia sphaerocarpa,0
nitrosococcus halophilus,0
phormidium pseudopristleyi,1
friedmanniella sagamiharensis,3
aquimonas spp.,1
maritalea zhangella mobilis,3
hellea spp.,1
pseudonocardia spp.,2
massilia timonae,1
saccharibacillus spp.,0
prochlorococcus spp.,1
ruminiclostridium clostridium straminisolvens,1
alterococcus agarolyticus,3
nocardioides hankookensis,0
deferribacter desulfuricans,0
methylobacterium adhaesivum,0
dialister spp.,1
vibrio rumoiensis,0
lewinella agarilytica,4
saccharofermentans spp.,6
puniceicoccus spp.,4
litoricola spp.,2
carboxydothermus hydrogenoformans,0
candidatus scalindua wagneri,1
desulfospira spp.,1
halomonas alimentaria,0
sphingomonas japonica,0
algoriphagus locisalis,0
glaciecola mesophila,0
methylosoma spp.,7
candidatus scalindua marina,0
anoxybacillus gonensis,0
marinomonas arenicola,0
sphingopyxis macrogoltabida,4
chondromyces crocatus,1
selenomonas ruminantium,5
pontibacter spp.,0
yeosuana spp.,4
mucilaginibacter spp.,1
desulfofrigus spp.,0
armatimonas spp.,1
kibdelosporangium aridum,0
candidatus_koribacter spp.,0
aquimarina muelleri,0
alicycliphilus spp.,2
francisella spp.,1
clostridium bowmanii,0
bacteroides vulgatus,3
marinomonas pontica,5
maricaulis washingtonensis,3
thioploca ingrica,0
moorella thermoacetica,4
gloeobacter violaceus,4
umboniibacter spp.,1
haloferula spp.,0
vibrio spp.,0
acidothermus spp.,3
tenacibaculum litoreum,1
geoalkalibacter subterraneus,2
devosia terrae,3
dysgonomonas spp.,0
sandarakinorhabdus spp.,1
leptonema illini,0
pseudospirillum marine metagenome,0
galbibacter mesophilus,0
tamlana agarivorans,0
nitratifractor spp.,0
pelagibaca bermudensis,1
ensifer adhaerens,2
desulfobacterium autotrophicum,0
paenibacillus spp.,4
ketogulonicigenium vulgare,16
beijerinckia derxii,2
psychrilyobacter spp.,0
rubritalea spp.,0
humicoccus spp.,0
perlucidibaca spp.,1
persicitalea jodogahamensis,0
owenweeksia marine metagenome,2
hydrogenobacter spp.,0
adhaeribacter spp.,3
rheinheimera spp.,1
syntrophobacter spp.,4
ho(lab) spp.,1
selenomonas spp.,1
marinimicrobium spp.,1
kribbella koreensis,0
acidicaldus spp.,0
rhodanobacter spp.,4
fastidiosipila spp.,4
erythrobacter flavus,0
oceanospirillum spp.,0
legionella spp.,0
leptobacterium spp.,5
burkholderia sp.,1
nautella italica,2
pontibacter korlensis,0
holospora spp.,5
martelella mediterranea,2
thiomicrospira crunogena,0
afipia broomeae,2
pseudomonas alcaligenes,0
bellilinea caldifistulae,0
novosphingobium hassiacum,4
msbl6 (candidate division)  msbl6 (candidate division),1
vibrio orientalis,1
alcanivorax indicus,9
candidatus_desulforudis spp.,2
novispirillum spp.,8
thiorhodococcus mannitoliphagus,21
desulfobacca spp.,2
pseudoalteromonas spp.,4
cobetia marina,0
dehalobacter spp.,0
kistimonas spp.,0
bacteroides spp.,0
demequina spp.,1
arthrospira platensis,5
allochromatium vinosum,0
candidatus_rhodoluna spp.,1
vibrio harveyi,5
salinihabitans spp.,0
agrobacterium tumefaciens,6
roseococcus spp.,0
spirosoma spp.,5
desulfonatronum thiosulfatophilum,0
levilinea saccharolytica,2
rivularia spp.,2
alphaproteobacteria magnetic proteobacterium,0
devosia limi,1
desulfovibrio profundus,7
fusobacterium spp.,0
cohaesibacter spp.,2
flavobacterium marine metagenome,0
alicyclobacillus pohliae,1
mesorhizobium huakuii,6
thalassobaculum spp.,4
novosphingobium resinovorum,1
alphaproteobacteria magnetic coccus,0
silanimonas spp.,10
maricaulis salignorans,0
methylotenera spp.,1
puniceicoccus vermicola,0
flavisolibacter spp.,0
geoalkalibacter desulfuromonas alkaliphilus,1
halarsenatibacter spp.,1
saprospira grandis,3
phenylobacterium spp.,2
halocella spp.,0
eggerthella spp.,0
alteromonas spp.,1
flexibacter roseolus,1
candidatus_xiphinematobacter spp.,4
roseivivax spp.,4
bilophila wadsworthia,4
leeuwenhoekiella aequorea,5
mycoplasma spp.,1
candidatus neoehrlichia mikurensis,0
desulfatiferula olefinivorans,0
crocinitomix catalasitica,2
candidatus aquirestis calciphila,0
ac1 (candidate division)  ac1 (candidate division),3
fodinicola spp.,9
candidatus aquiluna rubra,2
streptomyces thermodiastaticus,13
desulfovibrio cavernae,1
candidatus_hepatoplasma spp.,0
oleibacter spp.,0
thermacetogenium spp.,1
mycobacterium spp.,0
roseospira thiosulfatophila,0
dichotomicrobium spp.,2
devosia geojensis,2
gelria spp.,8
paracoccus aminophilus,4
paracoccus solventivorans,3
sphingomonas faeni,4
marinobacter koreensis,10
nitrosospira multiformis,1
microcoleus vaginatus,0
planktothricoides spp.,3
candidatus scalindua brodae,4
solimonas soli,0
cellulophaga lytica,1
chthoniobacter spp.,5
thiomicrospira kuenenii,7
aurantimonas spp.,4
atopococcus spp.,3
tumebacillus spp.,2
lutimaribacter spp.,3
donghicola spp.,3
rhodovulum sulfidophilum,36
haliscomenobacter spp.,3
luteibacter spp.,2
sphagnum rubellum,3
aureimonas aurantimonas kwangyangensis,22
lysinibacillus sphaericus,1
marinobacter flavimaris,3
hyunsoonleella spp.,2
desulfarculus spp.,4
plesiocystis spp.,0
methylocystis spp.,1
blautia spp.,5
halomonas variabilis,20
conexibacter spp.,4
pleomorphomonas spp.,7
christensenella spp.,2
