Species,Unique,Number
pseudonocardia xinjiangensis,72,0
wautersiella falsenii,73,0
curvibacter aquamonas fontana,74,0
cloacibacterium spp.,75,0
rhizobacter spp.,76,0
aeromicrobium panaciterrae,77,0
methylopila capsulata,78,0
capnocytophaga leadbetteri,79,0
finegoldia magna,80,0
flavobacterium aquatile,81,0
tetrasphaera spp.,82,0
nocardioides terrae,83,0
flavobacterium xanthum,84,0
psychrobacillus bacillus psychrodurans,85,1
pseudonocardia endophyticus,86,0
ferruginibacter metagenome sequence,87,0
bacillus longiquaesitum,88,0
rubellimicrobium roseum,89,0
spiroplasma platyhelix,90,0
paenibacillus amylolyticus,91,0
paludimonas spp.,92,0
oxalicibacterium faecigallinarum,93,0
leifsonia spp.,94,1
sphaerotilus natans,95,0
roseomonas cervicalis,96,0
lactuca sativa,97,0
chara corallina,98,0
microbacterium spp.,99,0
pyramimonas parkeae,100,0
dactylosporangium spp.,101,0
geothrix spp.,102,0
alistipes finegoldii,103,0
microbacterium hydrocarbonoxydans,104,0
bacteroides ovatus,105,0
paenibacillus agaridevorans,106,0
microlunatus ginsengisoli,107,0
aquimonas metagenome sequence,108,0
treponema spp.,109,0
thermoactinomyces vulgaris,110,0
flavobacterium psychrophilum,111,0
methylobacillus spp.,112,0
agrobacterium rhizobium rhizogenes,113,0
streptomyces avicenniae,114,0
sphingomonas mali,115,0
mycobacterium petroleophilum,116,0
escherichia hermannii,117,0
methylobacterium extorquens,118,0
actinoplanes ferrugineus,119,0
nocardioides sp.,120,0
peptoclostridium clostridium ghonii,121,0
klebsiella granulomatis,122,0
roseomonas lacus,123,0
bacillus arbutinivorans,124,0
arcicella spp.,125,0
lactococcus lactis,126,0
lamprocystis purpurea,127,0
microcystis wesenbergii,128,0
sphingomonas changbaiensis,129,0
cytophaga hutchinsonii,130,0
mitsuaria chitosanitabida,131,0
sphingomonas phyllosphaerae,132,0
fucus vesiculosus,133,0
methylocaldum szegediense,134,0
pseudoclavibacter spp.,135,1
leuconostoc pseudomesenteroides,136,0
curtobacterium flaccumfaciens,137,0
microvirga spp.,138,0
nocardioides oleivorans,139,0
luteolibacter spp.,140,0
lacibacter spp.,141,0
methylobacter spp.,142,0
sphingomonas azotifigens,143,0
candidatus_aquiluna marine metagenome,144,0
aureimonas aurantimonas altamirensis,145,0
aeromonas veronii,146,0
neisseria meningitidis,147,0
emticicia spp.,148,0
rummeliibacillus spp.,149,0
vogesella spp.,150,1
bacillus senegalensis,151,0
clostridium subterminale,152,1
rickettsia canadensis,153,0
roseomonas vinaceus,154,0
pedobacter kwangyangensis,155,0
luedemannella flava,156,0
caulobacter henricii,157,0
pelobacter seleniigenes,158,0
peptoclostridium clostridium sordellii,159,1
pseudorhodoferax soli,160,0
aquaspirillum serpens,161,0
undibacterium spp.,162,0
mycobacterium gadium,163,0
phenylobacterium immobile,164,0
chitinibacter tainanensis,165,0
ralstonia spp.,166,0
mycobacterium monacense,167,0
bacteroides massiliensis,168,0
hyphomicrobium zavarzinii,169,0
nitrosovibrio tenuis,170,0
pseudonocardia antarctica,171,0
beijerinckia indica,172,0
actinocorallia glomerata,173,0
roseomonas ruber,174,2
stenotrophomonas rhizophila,175,1
sporosarcina aquimarina,176,0
rickettsia tarasevichiae,177,0
stenotrophomonas spp.,178,0
rhodoferax fermentans,179,0
rickettsia limoniae,180,0
methylobacillus flagellatus,181,0
klugiella xanthotipulae,182,0
rhizobium oryzae,183,0
adhaeribacter terreus,184,0
pedobacter cryoconitis,185,0
rhodovarius spp.,186,0
corallococcus myxococcus macrosporus,187,0
thermosporothrix spp.,188,0
turicibacter spp.,189,0
larkinella spp.,190,0
pseudomonas stutzeri,191,0
erysipelatoclostridium clostridium spiroforme,192,0
rhodovastum atsumiense,193,0
hymenobacter rigui,194,0
chlorochromatium spp.,195,1
flectobacillus spp.,196,0
candidatus_magnetobacterium spp.,197,0
epilithonimonas lactis,198,0
alkanindiges spp.,199,1
micrococcus luteus,200,1
salegentibacter mishustinae,201,0
dolichospermum crassum,202,0
desulfovibrio ecwsrb050,203,0
oceanimonas spp.,204,1
brassicibacter bacterium bm,205,0
spirogyra maxima,206,0
tepidimonas spp.,207,0
leptospira alexanderi,208,0
mechercharimyces mesophilus,209,0
clostridium scatologenes,210,0
flavobacterium psychrolimnae,211,0
aureispira maritima,212,0
halobacillus trueperi,213,0
streptomyces sulfonofaciens,214,0
pseudorhodobacter spp.,215,1
polaribacter irgensii,216,0
rhodocista pekingensis,217,0
granulicatella elegans,218,0
geobacter argillaceus,219,1
mesotaenium caldariorum,220,2
anaerofustis spp.,221,1
marinobacter maritimus,222,2
catellatospora sp.,223,0
streptomyces stramineus,224,1
candidatus microthrix calida,225,0
desulfobacter postgatei,226,0
algoriphagus marincola,227,0
pseudobutyrivibrio fibrisolvens,228,0
staphylococcus epidermidis,229,0
aneurinibacillus thermoaerophilus,230,0
desulfovibrio senezii,231,0
nereida spp.,232,0
parasegetibacter spp.,233,0
methylocaldum tepidum,234,0
oleispira spp.,235,0
tistlia spp.,236,0
thioalkalivibrio thiocyanodenitrificans,237,3
desulfuromusa ferrireducens,238,0
lachnoclostridium clostridium saccharolyticum,239,0
pirellula sp.,240,0
erwinia tasmaniensis,241,0
geothermobacterium ferrireducens,242,1
ornithobacterium spp.,243,0
roseospirillum spp.,244,0
roseburia spp.,245,0
sphingobium spp.,246,0
pseudomonas mandelii,247,0
desulfovibrio desulfuricans,248,0
planctomyces sp.,249,0
croceitalea eckloniae,250,0
legionella anisa,251,0
orenia marismortui,252,1
rickettsia rickettsii,253,0
marivirga spp.,254,1
azospirillum spp.,255,0
ferrimonas sedimenticola,256,0
marinobacter lipolyticus,257,2
desulfonatronum spp.,258,0
jahnella thaxteri,259,0
cupriavidus necator,260,0
roseomonas aquatica,261,1
paucimonas lemoignei,262,1
legionella pneumophila,263,0
roseomonas mucosa,264,0
azospirillum brasilense,265,0
marinilactibacillus psychrotolerans,266,0
candidatus_xenohaliotis spp.,267,0
belliella baltica,268,0
gloeotrichia echinulata,269,0
quadrisphaera granulorum,270,2
fibrella spp.,271,0
legionella yabuuchiae,272,0
alcanivorax borkumensis,273,0
streptococcus spp.,274,0
pseudomonas synxantha,275,0
borrelia spp.,276,0
cryomorpha ignava,277,0
chaetosphaeridium globosum,278,2
kriegella spp.,279,0
halomonas shenglis,280,1
aeromicrobium spp.,281,0
stenotrophomonas chelatovorus,282,1
acidaminococcus fermentans,283,0
crenothrix freshwater sediment,284,0
bordetella hinzii,285,0
nitrosomonas cryotolerans,286,0
thermovirga spp.,287,0
lactobacillus plantarum,288,0
pseudomonas umsongensis,289,0
azovibrio spp.,290,0
alkaliphilus transvaalensis,291,1
ruminiclostridium clostridium papyrosolvens,292,1
desulfotomaculum acetoxidans,293,0
opitutus terrae,294,1
streptosporangium sphaerica,295,0
geothermobacter ehrlichii,296,0
uliginosibacterium spp.,297,0
methylocella spp.,298,0
desulfocella spp.,299,0
thalassotalea thalassomonas ganghwensis,300,1
psychromonas profunda,301,0
fischerella muscicola,302,0
flavobacterium frigoris,303,0
microcystis aeruginosa,304,0
parvimonas micra,305,0
thioploca candidatus thiomargarita_joergensenii,306,0
thermopolyspora compost metagenome,307,0
planosporangium flavigriseum,308,1
agromyces aurantiacus,309,0
desulfomicrobium norvegicum,310,0
nodularia spumigena,311,0
pelotomaculum spp.,312,0
gordonia polyisoprenivorans,313,0
clostridium botulinum,314,1
streptomyces thermoalcalitolerans,315,1
algoriphagus hongiella aquaeductus,316,0
granulicella spp.,317,0
thalassomonas viridans,318,0
cytophaga spp.,319,0
clostridium neonatale,320,1
micrococcus lylae,321,0
leptospira meyeri,322,0
psychrobacter pacificensis,323,0
marinomonas dokdonensis,324,0
papillibacter spp.,325,0
nocardia paucivorans,326,0
clostridium tepidiprofundum,327,0
curtobacterium citreum,328,0
candidatus_contubernalis spp.,329,0
candidatus_methylacidiphilum spp.,330,1
capnocytophaga spp.,331,0
novosphingobium mathurensis,332,0
methylophaga spp.,333,0
methylibium petroleiphilum,334,1
oscillatoria spp.,335,0
pseudonocardia kongjuensis,336,1
marinobacter spp.,337,0
thermoleophilum album,338,0
rhodovulum strictum,339,0
roseovarius nubinhibens,340,0
kordia spp.,341,0
stappia spp.,342,0
streptococcus thermophilus,343,0
sphingomonas yunnanensis,344,1
janibacter melonis,345,0
sulfurimonas autotrophica,346,3
wilmottia phormidium murrayii,347,0
persicobacter diffluens,348,0
desulfococcus multivorans,349,2
cystobacter fuscus,350,1
rhodoferax ferrireducens,351,0
pseudanabaena spp.,352,1
chlorobium spp.,353,0
gluconobacter spp.,354,0
flavobacterium daejeonense,355,0
microbulbifer agarilyticus,356,0
sphingopyxis panaciterrae,357,0
ornithobacterium rhinotracheale,358,1
shewanella aquimarina,359,0
desulfovibrio sulfodismutans,360,0
streptomyces roseoflavus,361,0
methylococcus spp.,362,1
desulfomicrobium spp.,363,0
moraxella bovis,364,0
halomonas pacifica,365,4
chryseobacterium spp.,366,0
mycobacterium porcinum,367,0
mycobacterium nebraskense,368,0
sphingobium sphingomonas agrestis,369,0
lysobacter spongicola,370,0
photobacterium lipolyticum,371,0
ottowia spp.,372,0
ureibacillus ruaensis,373,0
cellvibrio gandavensis,374,1
streptomyces lavendofoliae,375,0
tenacibaculum maritimum,376,1
bacillus cytotoxicus,377,0
thioalkalivibrio versutus,378,0
bacillus amyloliquefaciens,379,1
planomicrobium planococcus alkanoclasticus,380,0
candidatus_aquirestis spp.,381,3
thiophaeococcus mangrovi,382,4
desulfuromonas michiganensis,383,0
chamaesiphon subglobosus,384,0
thermoflavimicrobium spp.,385,0
ruminiclostridium eubacterium siraeum,386,2
holophaga spp.,387,0
desulfovibrio marrakechensis,388,0
cryobacterium psychrophilum,389,0
haloferula helveola,390,0
ascidianibacter aurantiacus,391,0
spirochaeta sp.,392,0
rickettsiales spp.,393,0
bacillus pumilus,394,0
kribbella jejuensis,395,0
singulisphaera spp.,396,1
sphingopyxis composta,397,4
oceanicola batsensis,398,1
hahella ganghwensis,399,2
ahrensia kielensis,400,1
erythrobacter gaetbuli,401,0
oscillospira spp.,402,0
dichotomicrobium thermohalophilum,403,0
enterobacter sp.,404,0
chlorobaculum parvum,405,2
rhodococcus fascians,406,0
croceitalea marine metagenome,407,0
methylophilus spp.,408,1
streptomyces yunnanensis,409,0
desulfobacter curvatus,410,0
pseudoalteromonas luteoviolacea,411,0
hoeflea spp.,412,0
thermobispora bispora,413,0
dyella ginsengisoli,414,1
nostoc spp.,415,0
ornithodoros moubata,416,0
kosmotoga sp.,417,0
nocardioides marinisabuli,418,0
anaeromyxobacter spp.,419,0
geobacter hephaestius,420,0
luteolibacter pohnpeiensis,421,1
polaromonas rhizosphaerae,422,0
arcanobacterium phocae,423,0
clostridium tetani,424,1
rickettsia japonica,425,0
streptomyces thermovulgaris,426,0
spiroplasma litorale,427,0
geobacter bemidjiensis,428,0
ramlibacter spp.,429,2
sutterella spp.,430,0
thermodesulfobium spp.,431,0
aestuariimicrobium spp.,432,0
bacillus pumilus,433,0
thalassolituus spp.,434,1
lishizhenia caseinilytica,435,0
planktothrix rubescens,436,0
moorea lyngbya bouillonii,437,0
tenacibaculum aestuarii,438,0
flavobacterium metagenome sequence,439,0
salibacter luridus,440,0
anaplasma centrale,441,0
caldibacillus geobacillus debilis,442,0
flavobacterium cucumis,443,0
photobacterium rosenbergii,444,0
albimonas donghaensis,445,0
janibacter spp.,446,1
microbulbifer salipaludis,447,1
legionella feeleii,448,0
psychrobacter celer,449,4
neorickettsia helminthoeca,450,0
faecalibacterium prausnitzii,451,3
pseudoalteromonas ulvae,452,0
sporomusa paucivorans,453,0
azospirillum amazonense,454,0
oscillatoriales phormidiaceae cyanobacterium,455,5
lutispora spp.,456,1
nocardia otitidiscaviarum,457,0
acidaminococcus intestini,458,0
bacteroides stercoris,459,0
rhodospirillum rubrum,460,0
aminobacter aminovorans,461,1
clostridium perfringens,462,0
salinibacterium spp.,463,0
ralstonia mannitolilytica,464,0
rhizobium undicola,465,0
sulfurospirillum arcachonense,466,0
atopobium spp.,467,1
sphingobium fuliginis,468,0
bacteroides uniformis,469,1
fulvivirga kasyanovii,470,1
cellulosimicrobium cellulans,471,0
crenothrix polyspora,472,1
magnetospirillum alpha proteobacterium,473,0
tenacibaculum skagerrakense,474,1
methylotenera mobilis,475,1
desulfovibrio putealis,476,0
brevundimonas alba,477,0
candidatus_cryptoprodotis spp.,478,1
aminobacter sp.,479,0
geodermatophilus spp.,480,0
exiguobacterium indicum,481,1
actinomadura kijaniata,482,0
anabaena variabilis,483,1
roseibacterium spp.,484,0
parabacteroides distasonis,485,0
sphingomonas adhaesiva,486,0
bulleidia  spp.,487,0
flavobacterium limicola,488,1
marichromatium purpuratum,489,0
pibocella spp.,490,0
cocleimonas flava,491,1
psychromonas arctica,492,0
acinetobacter lwoffii,493,0
citreimonas spp.,494,0
desulfobacterium zeppelinii,495,1
piscirickettsia spp.,496,0
paracoccus seriniphilus,497,0
sulfurihydrogenibium spp.,498,2
oscillibacter spp.,499,0
tistrella mobilis,500,0
caulobacter spp.,501,0
porphyrobacter agrobacterium sanguineum,502,1
brevinema spp.,503,0
rhodopseudomonas palustris,504,0
algoriphagus chordae,505,0
pseudomonas mendocina,506,0
chitinophaga spp.,507,1
desulfofaba spp.,508,0
streptomyces nogalater,509,0
microbacterium phyllosphaerae,510,0
agromyces spp.,511,2
thiomicrospira marine metagenome,512,0
desulfotalea arctica,513,0
methylobacterium tardum,514,0
caulobacter vibrioides,515,0
cellvibrio japonicus,516,2
kitasatospora putterlickiae,517,0
algicola spp.,518,0
ws6 (candidate division)  ws6 (candidate division),519,0
niastella spp.,520,0
lapillicoccus spp.,521,0
afipia spp.,522,0
derxia spp.,523,0
thiorhodococcus kakinadensis,524,0
psychromonas antarctica,525,6
amorphus spp.,526,0
desulfovibrio alcoholovorans,527,3
sarcina spp.,528,0
saccharospirillum spp.,529,2
desulfatibacillum alkenivorans,530,0
oceanisphaera spp.,531,0
desulfovibrio vulgaris,532,0
parabacteroides gordonii,533,0
thioploca candidatus parabeggiatoa_communis,534,0
ekhidna lutea,535,0
salinispora spp.,536,0
streptomyces cattleya,537,0
leadbetterella spp.,538,0
haliea salexigens,539,2
leuconostoc mesenteroides,540,0
acholeplasma vituli,541,0
corynebacterium kroppenstedtii,542,2
prevotella spp.,543,0
ruminiclostridium clostridium alkalicellum,544,0
actinomadura formosensis,545,0
frankia sp.,546,1
ruegeria atlantica,547,1
victivallis vadensis,548,0
syntrophus aciditrophicus,549,0
cohnella spp.,550,0
arthrobacter luteolus,551,0
maricaulis maris,552,0
meganema spp.,553,0
oxalobacter spp.,554,0
lachnoclostridium clostridium algidixylanolyticum,555,0
actinokineospora diospyrosa,556,1
moryella spp.,557,0
chromatium okenii,558,0
pseudoalteromonas haloplanktis,559,2
sphaerotilus spp.,560,0
thioploca candidatus maribeggiatoa_vulgaris,561,2
shinella zoogloeoides,562,1
pibocella ponti,563,0
mariniflexile spp.,564,0
microbacterium imperiale,565,0
prosthecochloris aestuarii,566,7
pseudomonas fluorescens,567,1
petrotoga sibirica,568,0
desulfovibrio aespoeensis,569,0
sporichthya polymorpha,570,0
glaciecola polaris,571,0
erwinia soli,572,0
aliihoeflea spp.,573,0
azoarcus toluclasticus,574,0
chlorobaculum spp.,575,0
bartonella elizabethae,576,0
runella spp.,577,0
mycobacterium sacrum,578,0
vibrio metschnikovii,579,0
propionibacterium acnes,580,0
microlunatus spp.,581,0
halobacillus salinus,582,2
marinobacter bryozoorum,583,0
streptomyces macrosporus,584,0
marinomonas aquimarina,585,2
microlunatus aurantiacus,586,1
desulfitobacterium spp.,587,0
clostridium limosum,588,0
oryzihumus spp.,589,2
syntrophomonas spp.,590,0
methylosinus trichosporium,591,1
sulfuricurvum spp.,592,1
halothiobacillus spp.,593,2
algibacter mikhailovii,594,0
candidatus_odyssella spp.,595,0
odoribacter spp.,596,0
pseudoalteromonas citrea,597,2
thalassotalea thalassomonas agarivorans,598,0
pseudomonas anguilliseptica,599,3
rhizobium etli,600,1
aeromonas spp.,601,0
pleomorphomonas oryzae,602,1
bacillus clausii,603,0
candidatus_hepatincola spp.,604,0
mycobacterium aurum,605,0
kribbella solani,606,0
melitea marine metagenome,607,0
clostridiisalibacter paucivorans,608,0
flexibacter echinicida,609,1
pedobacter koreensis,610,4
novosphingobium capsulatum,611,0
cardiobacterium hominis,612,0
filimonas spp.,613,1
nonlabens stenothermobacter spongiae,614,0
marinobacter sediminum,615,0
camelimonas spp.,616,0
dechloromonas spp.,617,0
umboniibacter marinipuniceus,618,0
dethiobacter spp.,619,0
halorhodospira halophila,620,1
oleiphilus messinensis,621,0
veillonella dispar,622,0
anoxybacillus kualawohkensis,623,0
proteiniclasticum spp.,624,0
spirosoma rigui,625,0
clostridium puniceum,626,2
thiomicrospira hydrothermal vent,627,0
desulfovibrio fructosovorans,628,1
desulfospira joergensenii,629,4
thiocystis violacea,630,9
phytophthora infestans,631,0
persicirhabdus spp.,632,1
deferribacter thermophilus,633,0
pseudomonas aeruginosa,634,0
reinekea marinisedimentorum,635,1
turicibacter sanguinis,636,0
sphingomonas echinoides,637,0
pseudozobellia thermophila,638,0
polaromonas spp.,639,0
sufflavibacter maritimus,640,2
kamptonema phormidium animale,641,2
bacillus acidiceler,642,1
candidatus_paenicardinium cardinium endosymbiont_of_culicoides_arakawae,643,0
spirochaeta americana,644,0
heterosigma akashiwo,645,1
marinobacter salicampi,646,1
kineosporia mikuniensis,647,5
legionella cherrii,648,0
leptobacterium flavescens,649,0
zavarzinella spp.,650,0
haloferula rosea,651,0
marinomonas spp.,652,0
mycobacterium holsaticum,653,0
pedobacter spp.,654,1
solibacillus spp.,655,0
lentisphaera araneosa,656,1
halanaerobium spp.,657,6
pectinatus sp.,658,0
sulfurospirillum spp.,659,1
bacillus aquimaris,660,1
rhodospirillum photometricum,661,0
hyphomicrobium sulfonivorans,662,1
shewanella marisflavi,663,1
georgfuchsia spp.,664,0
methylohalomonas spp.,665,0
methyloversatilis spp.,666,0
herbaspirillum frisingense,667,0
rickettsia monacensis,668,2
thioploca spp.,669,0
subdoligranulum spp.,670,1
fulvimarina pelagi,671,2
methylosinus sporium,672,1
pseudorhodoferax spp.,673,1
kordia algicida,674,1
acidithiobacillus ferrooxidans,675,1
ekhidna flexibacteraceae bacterium,676,0
byssovorax spp.,677,0
eubacterium rectale,678,1
jiangella spp.,679,0
meganema perideroedes,680,0
sporotalea spp.,681,1
variovorax paradoxus,682,0
arthrobacter nicotianae,683,0
desulfocapsa sulfexigens,684,12
isosphaera spp.,685,1
candidatus marithioploca_araucae,686,0
maritalea spp.,687,0
glaciecola chathamense,688,0
maricaulis parjimensis,689,0
trichormus variabilis,690,2
desulfovibrio fairfieldensis,691,1
candidatus_endobugula endosymbiont of_bugula_turbinata,692,0
faecalibacterium spp.,693,0
planctomyces brasiliensis,694,2
kordiimonas gwangyangensis,695,0
tepidibacter spp.,696,0
synechococcus spc9,697,0
methylobacterium jeotgali,698,0
cyclobacterium marinum,699,0
fervidobacterium spp.,700,1
lentzea waywayandensis,701,3
anaerosporobacter spp.,702,2
anaerotruncus spp.,703,0
piscirickettsia salmonis,704,0
paracoccus versutus,705,0
balneimonas spp.,706,0
psychromonas heitensis,707,2
novosphingobium stygium,708,1
desulfuromonas acetoxidans,709,1
nonomuraea bangladeshensis,710,0
anaerospora spp.,711,2
marinobacter hydrocarbonoclasticus,712,0
cetobacterium spp.,713,0
tenacibaculum mesophilum,714,1
streptomyces chattanoogensis,715,0
planococcus donghaensis,716,1
hahella antarctica,717,1
leptospira spp.,718,3
enhygromyxa salina,719,2
trichodesmium erythraeum,720,0
alicyclobacillus spp.,721,1
mesonia spp.,722,1
bosea thiooxidans,723,0
bowmanella pacifica,724,4
hydrogenophaga spp.,725,2
desulfovibrio dechloracetivorans,726,1
desulfovibrio aminophilus,727,0
thalassobius gelatinovorus,728,0
hyphomonas taiwanensis,729,4
desulfovibrio oxyvorans,730,0
alistipes spp.,731,0
marinomonas communis,732,0
iamia majanohamensis,733,2
solitalea spp.,734,1
phascolarctobacterium spp.,735,2
vadicella arenosi,736,0
lachnoclostridium clostridium xylanolyticum,737,0
microbacterium aurum,738,2
blautia producta,739,0
pantoea ananatis,740,4
thermaerobacter nagasakiensis,741,1
nitrosomonas aestuarii,742,2
pseudoalteromonas porphyrae,743,9
campylobacter spp.,744,7
limnobacter spp.,745,3
desulfovirga spp.,746,0
akkermansia spp.,747,0
hyphomonas oceanitis,748,1
pseudoruegeria aquimaris,749,0
psychrobacter spp.,750,10
xenococcus spp.,751,3
mycoplana dimorpha,752,2
flavihumibacter spp.,753,0
pseudomonas putida,754,1
hydrogenophaga taeniospiralis,755,2
thalassomonas spp.,756,2
desulfovibrio oryzae,757,0
ruminofilibacter xylanolyticum,758,4
arenimonas spp.,759,0
algoriphagus yeomjeoni,760,0
subsaximicrobium wynnwilliamsii,761,2
rhodobacter capsulatus,762,0
paracoccus pantotrophus,763,0
ruminococcus spp.,764,3
microbulbifer variabilis,765,0
psychromonas spp.,766,0
paucimonas spp.,767,3
desulfovibrio ferrophilus,768,0
elusimicrobium spp.,769,0
thermocrinis spp.,770,0
rickettsia typhi,771,0
alteromonas tagae,772,0
frankiales spp.,773,0
algoriphagus marine metagenome,774,0
malawimonas jakobiformis,775,0
ulvibacter litoralis,776,5
mucispirillum schaedleri,777,0
comamonas spp.,778,2
sideroxydans paludicola,779,0
candidatus_amoebophilus endosymbiont of_acanthamoeba_sp._(hungarian_isolate),780,0
desulfomonile limimaris,781,2
anaplasma phagocytophilum,782,0
telmatospirillum spp.,783,0
succiniclasticum spp.,784,2
williamsia muralis,785,0
ruminiclostridium clostridium stercorarium,786,2
bacillus sp.,787,1
cohaesibacter marine metagenome,788,1
paracoccus aminovorans,789,0
bacillus algicola,790,2
thiohalospira halophila,791,4
hyphomonas spp.,792,1
dorea spp.,793,0
catenibacterium spp.,794,1
cellulomonas chitinilytica,795,1
anaerovibrio spp.,796,0
leptotrichia spp.,797,0
coxiella burnetii,798,3
rhodocyclus tenuis,799,2
pseudolabrys rhizobiales sp.,800,1
shewanella spp.,801,0
moorella spp.,802,4
marixanthomonas ophiurae,803,1
candidatus_captivus spp.,804,0
jejuia spp.,805,0
brachymonas spp.,806,5
bacillus thuringiensis,807,1
candidatus amoebophilus asiaticus,808,0
arenibacter spp.,809,4
algoriphagus ratkowskyi,810,5
loktanella koreensis,811,0
desulfovibrio longus,812,0
candidatus_anadelfobacter spp.,813,0
acholeplasma axanthum,814,0
jannaschia seohaensis,815,1
halomonas spp.,816,0
hahella spp.,817,0
geobacter lovleyi,818,4
sphingomonas asaccharolytica,819,0
spirochaeta dissipatitropha,820,0
pseudobutyrivibrio spp.,821,0
desulfobacterium vacuolatum,822,0
bilophila spp.,823,0
agromyces allium,824,4
lysobacter spp.,825,3
megasphaera elsdenii,826,0
microbulbifer maritimus,827,0
chthoniobacter flavus,828,1
psychrobacter aquaticus,829,0
psychroserpens burtonensis,830,1
arthrobacter chlorophenolicus,831,0
jejuia pallidilutea,832,0
nostoc commune,833,4
glaciecola punicea,834,1
desulfovibrio halophilus,835,0
reichenbachiella agariperforans,836,2
propionigenium spp.,837,2
nostocoida type ii nostocoida aromativora,838,0
ruminiclostridium clostridium thermocellum,839,5
friedmanniella spp.,840,4
rickettsia parkeri,841,1
desulfovibrio africanus,842,2
gillisia spp.,843,3
solirubrobacterales spp.,844,0
methylobacterium spp.,845,0
sphingopyxis alaskensis,846,1
arcobacter mytili,847,16
aquimarina intermedia,848,0
brevundimonas spp.,849,1
sphingobium paucimobilis,850,0
gammaproteobacteria spp.,851,11
microbulbifer thermotolerans,852,0
succinispira spp.,853,1
rhodococcus spp.,854,0
thioalkalibacter halophilus,855,0
mycobacterium marinum,856,0
microbacterium ulmi,857,10
spirochaeta cellobiosiphila,858,0
rhodobium orientis,859,1
azospirillum palatum,860,1
propionicicella spp.,861,0
rapidithrix spp.,862,0
brumimicrobium spp.,863,2
legionella dresdeniensis,864,0
sphaerobacter spp.,865,1
corynebacteriales spp.,866,1
ureaplasma felinum,867,0
reclinomonas americana,868,0
marichromatium indicum,869,7
nodularia sphaerocarpa,870,0
nitrosococcus halophilus,871,0
phormidium pseudopristleyi,872,1
friedmanniella sagamiharensis,873,3
aquimonas spp.,874,1
maritalea zhangella mobilis,875,3
hellea spp.,876,1
pseudonocardia spp.,877,2
massilia timonae,878,1
saccharibacillus spp.,879,0
prochlorococcus spp.,880,1
ruminiclostridium clostridium straminisolvens,881,1
alterococcus agarolyticus,882,3
nocardioides hankookensis,883,0
deferribacter desulfuricans,884,0
methylobacterium adhaesivum,885,0
dialister spp.,886,1
vibrio rumoiensis,887,0
lewinella agarilytica,888,4
saccharofermentans spp.,889,6
puniceicoccus spp.,890,4
litoricola spp.,891,2
carboxydothermus hydrogenoformans,892,0
candidatus scalindua wagneri,893,1
desulfospira spp.,894,1
halomonas alimentaria,895,0
sphingomonas japonica,896,0
algoriphagus locisalis,897,0
glaciecola mesophila,898,0
methylosoma spp.,899,7
candidatus scalindua marina,900,0
anoxybacillus gonensis,901,0
marinomonas arenicola,902,0
sphingopyxis macrogoltabida,903,4
chondromyces crocatus,904,1
selenomonas ruminantium,905,5
pontibacter spp.,906,0
yeosuana spp.,907,4
mucilaginibacter spp.,908,1
desulfofrigus spp.,909,0
armatimonas spp.,910,1
kibdelosporangium aridum,911,0
candidatus_koribacter spp.,912,0
aquimarina muelleri,913,0
alicycliphilus spp.,914,2
francisella spp.,915,1
clostridium bowmanii,916,0
bacteroides vulgatus,917,3
marinomonas pontica,918,5
maricaulis washingtonensis,919,3
